acct_number,acct_name,acct_class,acct_type,normal_balance,fin_stmt,is_cash_acct,is_reserve_acct,subgroup
10110,cash - operating account,asset,cash,debit,balance sheet,1,1,101
10115,cash - reserve account,asset,cash,debit,balance sheet,1,0,101
10120,cash - security deposits,asset,cash,debit,balance sheet,0,1,101
10125,cash - escrow,asset,cash,debit,balance sheet,0,0,101
10130,restricted cash - lender reserves,asset,cash,debit,balance sheet,0,1,101
10135,unapplied cash payment income,asset,cash,debit,balance sheet,0,0,101
10210,accounts receivable,asset,ar,debit,balance sheet,0,0,102
10215,intercompany notes receivable,asset,ar,debit,balance sheet,0,0,102
10220,rents receivable,asset,ar,debit,balance sheet,0,0,102
10310,prepaid expenses,asset,prepaid expense,debit,balance sheet,0,0,103
10410,inventory,asset,inventory,debit,balance sheet,0,0,104
10510,"furniture, fixtures & equipment (ff&e)",asset,fixed assets,debit,balance sheet,0,0,105
10515,buildings,asset,fixed assets,debit,balance sheet,0,0,105
10520,building improvements,asset,fixed assets,debit,balance sheet,0,0,105
10525,land,asset,fixed assets,debit,balance sheet,0,0,105
10530,land improvements,asset,fixed assets,debit,balance sheet,0,0,105
10535,landscaping & grounds,asset,fixed assets,debit,balance sheet,0,0,105
10540,capital improvements,asset,fixed assets,debit,balance sheet,0,0,105
10545,property improvements,asset,fixed assets,debit,balance sheet,0,0,105
10550,accumulated depreciation,asset,fixed assets,debit,balance sheet,0,0,105
10910,uncategorized assets,asset,other,debit,balance sheet,0,0,109
10915,undeposited fund,asset,other,debit,balance sheet,0,0,109
20110,accounts payable,liability,ap,credit,balance sheet,0,0,201
20115,accounts payable - vendors,liability,ap,credit,balance sheet,0,0,201
20120,intercompany notes payable,liability,ap,credit,balance sheet,0,0,201
20125,loan payable,liability,ap,credit,balance sheet,0,0,201
20130,mortgages payable,liability,ap,credit,balance sheet,0,0,201
20135,notes payable,liability,ap,credit,balance sheet,0,0,201
20140,notes payable interest expense,liability,ap,credit,balance sheet,0,0,201
20145,payroll liabilities,liability,ap,credit,balance sheet,0,0,201
20150,property taxes payable,liability,ap,credit,balance sheet,0,0,201
20155,security deposits payable,liability,ap,credit,balance sheet,0,0,201
20310,tenant prepayments,liability,other,credit,balance sheet,0,0,203
20315,unearned rent income,liability,other,credit,balance sheet,0,0,203
30110,distributions / draws,equity,equity,credit,balance sheet,0,0,301
30115,equity accounts,equity,equity,credit,balance sheet,0,0,301
30120,owner's equity / capital contribution,equity,equity,credit,balance sheet,0,0,301
30125,retained earnings,equity,equity,credit,balance sheet,0,0,301
40110,cam & recovery income,revenue,income,credit,income statement,0,0,401
40115,commission income,revenue,income,credit,income statement,0,0,401
40120,interest income,revenue,income,credit,income statement,0,0,401
40125,late fee income,revenue,income,credit,income statement,0,0,401
40130,other income,revenue,income,credit,income statement,0,0,401
40135,parking income,revenue,income,credit,income statement,0,0,401
40140,rental income,revenue,income,credit,income statement,0,0,401
40145,services income,revenue,income,credit,income statement,0,0,401
40150,property management income,revenue,income,credit,income statement,0,0,401
40910,uncategorized income,revenue,other,credit,income statement,0,0,401
40915,vending / other miscellaneous income,revenue,other,credit,income statement,0,0,401
