Address,City,State,Type,Status,Subtype,Market,Legal Entity,Floors,Units,Total Sq Ft,Reserve Requirement,Year Built,Last Renovated,Occupancy,property_id
180 Admiral Cochrane Drive,Annapolis,MD,Office,For Lease,Suburban Office,Mid-Atlantic,"GCP-180, LLC",4,20,125728,500000,1988,2018,1.0,b28b91e8e77c44948f9cb83988dff789
25 S. Charles Street,Baltimore,MD,Office,For Lease,Downtown Office,Mid-Atlantic,"GCP-DTBAL, LLC",22,40,359000,1000000,1969,2017,0.6,8eaf97fd607b4d379f6c9d3d558277db
120 E. Baltimore Street,Baltimore,MD,Office,For Lease,Historic Building / CBD Office,Mid-Atlantic,"GCP-DTBAL, LLC",25,50,325340,1000000,1989,2021,1.0,588aa380f2f1408e8f0052cc8359db6a
95 Heritage Drive,Quincy,MA,Office,For Lease,Business Park,Northeast,"GCP-95, LLC",3,12,50000,250000,1985,2015,1.0,9be34126e73342c5b4209694d084b614
300 Crown Colony Drive,Quincy,MA,Office,For Lease,Class A Office,Northeast,"GCP-300, LLC",5,20,117339,400000,1988,2013,0.9,978f43530e9a49f59d18f0b3e80d9d3e
313 Washington Street,Newton,MA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-313, LLC",5,20,81058,300000,1980,2020,0.8,48ea270c23004adab1faf52df9e8db90
7030 Dorsey Road,Hanover,MD,Retail,For Lease,Flex Space,Mid-Atlantic,"GCP-7030, LLC",3,12,63000,250000,1990,2016,1.0,c88dd3666f3d417f9c6e7299b4359c4a
"1302, 1304, 1306 Concourse Drive",Linthicum,MD,Office,For Lease,Office Park,Mid-Atlantic,"GCP-1302, LLC",2,6,50000,200000,1987,2012,1.0,bfdf52f322614929a559831754a6a0bd
70 Hastings Street,Wellesley,MA,Office,For Lease,Medical Office,Northeast,"GCP-70, LLC",3,10,48000,200000,1992,2017,0.8,bd0295e0999648f3a7771bcbfd5b3647
21 Crossroads Drive,Owings Mills,MD,Office,For Lease,Small Professional Suites,Mid-Atlantic,"GCP-21, LLC",2,8,42000,150000,1985,2010,0.625,1343509080614ca39d4facec9750fda9
10010 Junction Drive,Annapolis,MD,Office,For Lease,Suburban Office,Mid-Atlantic,"GCP-10010, LLC",3,12,50000,250000,1990,2015,0.9166666666666666,e4bfb64644b34bd393676fa553889a7c
700 Congress Street,Austin,TX,Office,For Lease,CBD Office,South,"GCP-TX, LLC",10,30,150000,600000,1982,2018,0.6,59e3bdfdc6154aa9a818470747ef5f05
11100 Gilroy Road,Hunt Valley,MD,Industrial,For Lease,Warehouse/Distribution,Mid-Atlantic,"GCP-11100, LLC",1,6,80000,250000,1995,2010,0.8333333333333334,1a76ccc764b14457bb6dacd0eaca31e2
8215 Dorsey Run Road,Jessup,MD,Industrial,Sold,Light Industrial,Mid-Atlantic,"GCP-8215, LLC",1,8,60000,200000,1980,2010,1.0,48638f08c08d428da29a13ec19675099
110 Shawmut Road,Canton,MA,Industrial,Sold,R&D/Flex Industrial,Northeast,"GCP-110, LLC",2,10,70000,250000,1985,2015,0.9,39421673b32c4792b3fd98e71f42b839
300 & 600 Federal Street,Andover,MA,Office,Sold,Urban Office,Northeast,"GCP-300, LLC",4,16,120000,400000,1990,2012,0.1875,f57d5de8e3c54efea0316046a985b193
"1512, 1514, 1516 Jabez Run",Millersville,MD,Industrial,Sold,Multi-Tenant Industrial,Mid-Atlantic,"GCP-1512, LLC",1,12,90000,300000,1987,2015,1.0,4c80b9a1fc5d478aaf36d19ae1e5e405
254 Second Avenue,Waltham,MA,Office,Sold,Government/Medical Office,Northeast,"GCP-254, LLC",3,15,60000,200000,1980,2010,0.6,597d778833d14d77a3d7e2964e8bb2fa
2300 Crown Colony Drive,Quincy,MA,Office,Sold,Corporate Office,Northeast,"GCP-2300, LLC",5,25,130000,500000,1989,2017,0.6,59d0649ef6af480ba73e51931026f91a
700 & 900 Technology Park Drive,Billerica,MA,Office,Sold,Tech Campus,Northeast,"GCP-700, LLC",3,18,95000,350000,1995,2014,1.0,a1dda407127a44b1830597dfdd968247
8002 Discovery Drive,Columbia,MD,Office,Sold,Class B Office,Mid-Atlantic,"GCP-8002, LLC",3,10,45000,150000,1982,2012,1.0,57283063e2424dadad410beae686d570
2810 North Parham Road,Richmond,VA,Office,Sold,Office Tower,Mid-Atlantic,"GCP-2810, LLC",7,28,140000,600000,1980,2010,0.7857142857142857,5641ca040cab4387a9fdd2c589e015fe
14900 Landmark Boulevard,Dallas,TX,Office,Sold,Suburban Office,South,"GCP-TX, LLC",6,24,110000,400000,1985,2010,0.20833333333333334,a7048442d38e46d885c04d49f1b21939
"7200, 7202, 7204 Glen Forest Drive",Richmond,VA,Office,Sold,Office Campus,Mid-Atlantic,"GCP-7200, LLC",2,12,60000,200000,1987,2012,0.9166666666666666,d500a7d4dfe348a5967536b751413848
8361 Town Center Court,Baltimore,MD,Office,Sold,Mixed-Use Office,Mid-Atlantic,"GCP-8361, LLC",3,15,70000,250000,1990,2015,1.0,253838a3889d48bc87f885e575749bb9
1305 Governor Court,Abingdon,MD,Industrial,Sold,Flex Industrial,Mid-Atlantic,"GCP-1305, LLC",1,8,50000,200000,1992,2012,0.875,67e40f4fbf2246a4bd74f5edc0d5f6cc
1200 Bernard Drive,Baltimore,MD,Industrial,Sold,Distribution Center,Mid-Atlantic,"GCP-1200, LLC",1,10,90000,300000,1988,2013,0.8,d0c0a6c6387943639b5cc916717fa754
2 Park Center Court,Owings Mills,MD,Office,Sold,Business Park,Mid-Atlantic,"GCP-2, LLC",2,10,50000,200000,1985,2010,0.8,cc34b29937c74beaa215bf90aa5ff855
108 Myrtle Street,Quincy,MA,Office,Sold,Small Office/Creative Space,Northeast,"GCP-108, LLC",2,8,20000,100000,1980,2010,1.0,1f8397decfc04bfe981759f8b9fb3f04
7600 Dorsey Run Road,Hanover,MD,Office,Stabilized,Stabilized Government Office,Mid-Atlantic,"GCP-7600, LLC",3,12,60000,250000,1993,2018,0.9166666666666666,7c8dbadfd7d44f66b61786948da5d93c
18212 Shawley Drive,Hagerstown,MD,Industrial,Stabilized,Stabilized Warehouse,Mid-Atlantic,"GCP-18212, LLC",1,6,80000,250000,1995,2015,0.8333333333333334,123e037dc29242f28bd26d0cee1cef67
950 Principio Furnace Road,Perryville,MD,Industrial,Stabilized,Large-Scale Distribution Facility,Mid-Atlantic,"GCP-950, LLC",1,20,400000,1000000,2000,2020,0.2,acfc68e103fa4e8cae43bdea3609f909
7 Old Solomons Island Rd,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-7, LLC",1,6,15000,75000,1975,2010,1.0,df638483157748bea113d0b255858831
1940 West St,Annapolis,MD,Retail,For Lease,Flex Space,Mid-Atlantic,"GCP-1940, LLC",1,8,20000,100000,1980,2010,1.0,1145fb96d176487bae5b66341f3dcad0
115 West St,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-115, LLC",1,4,8000,40000,1950,2010,1.0,3a77e812c994451dbae3bd23f6fdd7d1
170 Jennifer Rd,Annapolis,MD,Office/Retail,For Lease,Class A Office,Mid-Atlantic,"GCP-170, LLC",4,16,65000,250000,1998,2018,0.8125,db5518b8613b45c9b471feb9270d24b8
4 Church Cir,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-4, LLC",1,4,6000,30000,1920,2010,1.0,96c381c9c6fc43818ecd8998cffe1e69
