id,bank_account_id,transaction_date,description,amount,type,balance_after,matched_gltran_id,created_by,created_at,modified_by,modified_at
af267ea1d9c049c091949d611b318d0c,34d4c182e9a24b2ba115f8813d25c570,2025-03-13,Technology keep political cultural chance condition.,2201.46,Credit,52201.46,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
4fa7e7adf14843c49f0758cbc02f464f,34d4c182e9a24b2ba115f8813d25c570,2025-02-27,Buy them not try.,-2533.99,Debit,49667.47,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
0a6ffc8f629949fa9e10fe3150b27f6f,34d4c182e9a24b2ba115f8813d25c570,2025-03-17,Commercial speech finish big structure war these.,1003.53,Credit,50671.0,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
049dcc9001b249b5b37228258fb3c6f4,34d4c182e9a24b2ba115f8813d25c570,2025-03-20,Science compare need who car carry him under.,345.77,Credit,51016.77,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
a3c330029a9547a1a864c26f099992f5,34d4c182e9a24b2ba115f8813d25c570,2025-01-10,Important career paper identify behind product.,-414.64,Debit,50602.13,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
c2db633841e244ba9e71a0bae25eca8c,34d4c182e9a24b2ba115f8813d25c570,2025-03-02,Free may job then what.,4281.67,Credit,54883.8,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
bbe5fd8b4c9b4b9eb647dea14236c03e,34d4c182e9a24b2ba115f8813d25c570,2025-02-01,Whether already professor least personal.,-3258.83,Debit,51624.97,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
dff267a7f1354230bc65abe60b8b5945,34d4c182e9a24b2ba115f8813d25c570,2025-03-04,Different about member he strategy.,631.0,Credit,52255.97,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
9b88c65e636e4701b85294cbe52f78a7,34d4c182e9a24b2ba115f8813d25c570,2025-03-29,Wall care best trade force large.,-4850.54,Debit,47405.43,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
ed9ed895299b47bd86837f88f52557e6,34d4c182e9a24b2ba115f8813d25c570,2025-02-13,Official country cold east.,-3354.58,Debit,44050.85,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
dbc89aa823ac4e3e85b279349e5dc7a9,9a6a2559cb894a14a7beaefb3d27d713,2025-04-15,Make base book require cost economic why whose.,-4385.66,Debit,45614.34,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
63814a5b68b74fd99b6c6da01b42fa76,9a6a2559cb894a14a7beaefb3d27d713,2025-05-03,Than rest house suddenly site still.,-2783.77,Debit,42830.57,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
cb5206fbd8a34137929ea751c059f1a1,9a6a2559cb894a14a7beaefb3d27d713,2025-03-14,Sign work run notice development.,1205.83,Credit,44036.4,,system,2025-06-08 17:17:13.561036,system,2025-06-08 17:17:13.561036
