id,tenant_id,unit_id,property_id,lease_start,lease_end,rent_start_date,deposit_amount,monthly_rent,payment_timing,lease_status,auto_renew,lease_type,late_fee_terms,early_termination_clause,pro_rated_start,escalation_clause,expense_reimbursement_clause,escalation_type,escalation_rate,fixed_rent_commencement,rent_deferral_months,free_rent_months
b03979acff874f218974bc549ef70ff7,354c91f7d68149ffbd1d5a123e226aff,234a724f48d2402a8261a48eaa3854c1,274d6a082abc4de091a10bc562745591,2024-08-14,2025-08-14,2024-09-01,83027.01,27675.67,In Advance,Active,True,Commercial,5% after 5 days,2 months rent,True,False,False,CPI,,True,0,3
759a4d9768f844c4b1c06ffa2c5833f1,7545049af7994cca98d14d862d6116d8,6f250daa2e9742a2853f643178fc2e24,274d6a082abc4de091a10bc562745591,2025-03-24,2035-03-22,2025-03-24,70052.16,23350.72,In Advance,Active,False,Commercial,5% after 5 days,2 months rent,True,False,False,,,False,0,2
41db5e08ce0548bf9a9304846bbd4293,b8c7c377346148d6a2c03f98846f4a1c,a058254bfc714983ad6209f16199d8fc,274d6a082abc4de091a10bc562745591,2020-10-08,2021-10-08,2020-12-08,83206.95,27735.65,In Advance,Terminated,False,Commercial,5% after 5 days,2 months rent,True,True,True,Fixed %,0.03,False,2,0
a3a3b56c56314fd08daddd338e95ba05,2b7789403a564f959b0cd52132046eb4,b5875d6186fd43ff8986fcf558920891,274d6a082abc4de091a10bc562745591,2021-03-08,2026-03-07,2021-06-01,97846.98,32615.66,In Advance,Active,False,Commercial,5% after 5 days,2 months rent,True,False,True,,,True,2,1
5198d23943344bd899674ce09bad806c,dadc31edd06b4e2faf8cb2b585805800,c178760186ec47c48f81222e019a3903,274d6a082abc4de091a10bc562745591,2022-12-13,2032-12-10,2023-01-13,94111.41,31370.47,In Advance,Active,False,Commercial,5% after 5 days,2 months rent,True,True,True,,,False,1,2
f1393a3fcdb947d4bdba7be68fe6f6d9,49fdff0d8b1c4c20bb73ff941a535816,40e7a936f1804acc8bd7911d03ee6193,274d6a082abc4de091a10bc562745591,2024-04-30,2029-04-29,2024-05-30,74544.0,24848.0,In Advance,Active,False,Commercial,5% after 5 days,2 months rent,True,True,True,,,False,1,0
1f33382a4abf404d89ff79af6872bd65,80374a98f0504a949962d72ad7348929,c428be6201d7487aa826d9a2a9ef2050,274d6a082abc4de091a10bc562745591,2022-02-11,2025-02-10,2022-04-01,93404.88,31134.96,In Advance,Terminated,False,Commercial,5% after 5 days,2 months rent,True,True,True,CPI,,True,1,3
c790f9de2d9546508a69c26e7116440b,56dd45d1c1aa4f6e852a24e0659e881c,42cdd6114bc245a5b12bd02bb61e92c5,274d6a082abc4de091a10bc562745591,2021-03-13,2022-03-13,2021-03-13,94358.97,31452.99,In Advance,Terminated,True,Commercial,5% after 5 days,2 months rent,True,True,True,Fixed %,0.03,False,0,2
ff65a976dd574f67a8a6f343658fef46,f3e74d996b9c4a0b9e56e373c6b265fd,bd2993d75ae846749237b212101e9cae,274d6a082abc4de091a10bc562745591,2023-03-20,2028-03-18,2023-06-01,81733.86,27244.62,In Advance,Active,False,Commercial,5% after 5 days,2 months rent,True,True,False,,,True,2,0
4750145570ba40738bb12c6da7a9c243,7e804e541a3f492499f98e388e0efc0e,25a2b131588f4c21917a776627122870,274d6a082abc4de091a10bc562745591,2021-11-25,2031-11-23,2021-12-01,82753.05,27584.35,In Advance,Active,False,Commercial,5% after 5 days,2 months rent,True,False,False,Fixed %,0.03,True,0,0
