id,property_id,unit_number,floor_number,sq_ft,occupancy_status,last_renovated,last_occupied,last_vacated,created_at,modified_at
234a724f48d2402a8261a48eaa3854c1,274d6a082abc4de091a10bc562745591,02001,2,6286,Occupied,1993-02-27,,2024-08-14,2023-10-11,2025-06-24
6f250daa2e9742a2853f643178fc2e24,274d6a082abc4de091a10bc562745591,01002,1,6286,Occupied,2018-11-17,,2025-03-24,2022-08-30,2022-11-21
a058254bfc714983ad6209f16199d8fc,274d6a082abc4de091a10bc562745591,04003,4,6286,Occupied,2019-06-15,,2020-10-08,2020-05-24,2022-07-29
b5875d6186fd43ff8986fcf558920891,274d6a082abc4de091a10bc562745591,02004,2,6286,Occupied,2017-02-17,,2021-03-08,2019-01-06,2020-05-24
c178760186ec47c48f81222e019a3903,274d6a082abc4de091a10bc562745591,04005,4,6286,Occupied,2002-05-13,,2022-12-13,2021-07-25,2025-05-04
40e7a936f1804acc8bd7911d03ee6193,274d6a082abc4de091a10bc562745591,03006,3,6286,Occupied,2003-02-23,,2024-04-30,2016-01-10,2025-02-23
c428be6201d7487aa826d9a2a9ef2050,274d6a082abc4de091a10bc562745591,04007,4,6286,Occupied,1996-09-01,,2022-02-11,2019-04-18,2020-02-10
42cdd6114bc245a5b12bd02bb61e92c5,274d6a082abc4de091a10bc562745591,04008,4,6286,Occupied,2005-04-18,,2021-03-13,2015-08-03,2019-04-25
bd2993d75ae846749237b212101e9cae,274d6a082abc4de091a10bc562745591,04009,4,6286,Occupied,2012-01-18,,2023-03-20,2019-09-25,2023-09-04
25a2b131588f4c21917a776627122870,274d6a082abc4de091a10bc562745591,02010,2,6286,Occupied,2000-10-13,,2021-11-25,2019-07-16,2020-07-15
92314f1d8e0b443db3535d7d76156dd7,274d6a082abc4de091a10bc562745591,04011,4,6286,Occupied,2017-11-30,,2025-05-17,2023-12-18,2024-06-05
836eb4b5adc349d0809fdf2fbe8230ed,274d6a082abc4de091a10bc562745591,04012,4,6286,Occupied,2021-10-29,,2024-09-21,2024-05-24,2024-11-13
3df256525eea48aa9a5825f7bca43eec,274d6a082abc4de091a10bc562745591,03013,3,6286,Occupied,1995-05-24,,2024-06-26,2015-11-30,2019-09-24
646db7b9fa4d475e8d1b95537a029179,274d6a082abc4de091a10bc562745591,02014,2,6286,Occupied,2004-01-10,,2023-09-05,2018-07-13,2024-12-20
e4094deb553d4aed848f867ab252e5c7,274d6a082abc4de091a10bc562745591,03015,3,6286,Occupied,2015-09-08,,2023-01-20,2019-05-12,2022-08-02
f98a555a65cf4a8589a3cb4c87b1fe6d,274d6a082abc4de091a10bc562745591,04016,4,6286,Occupied,2013-10-23,,2023-07-02,2018-03-29,2018-10-19
fdc85785cd7745d0ba43f1cf6c48b74e,274d6a082abc4de091a10bc562745591,02017,2,6286,Occupied,2016-03-13,,2023-11-25,2017-06-17,2019-09-29
018551f2d1a34659b147af4ddd549cba,274d6a082abc4de091a10bc562745591,03018,3,6286,Occupied,2001-07-25,,2024-06-24,2016-09-13,2016-10-19
0caa78636a8f46d199df579dc8c491d3,274d6a082abc4de091a10bc562745591,04019,4,6286,Occupied,2012-06-09,,2024-11-19,2024-04-12,2024-05-20
60495c8da6704feaa740f56701aac51f,274d6a082abc4de091a10bc562745591,01020,1,6286,Occupied,2001-05-04,,2022-02-11,2016-01-04,2016-02-28
05c255d5ea4d4f769e077b931e987ac9,a2285cbe4eb9443d8ff64c6927f2bff8,14001,14,8975,Vacant,1977-06-08,2025-07-18,,2018-08-07,2025-02-06
9895b18346c34cacb76cbbc6da81fa29,a2285cbe4eb9443d8ff64c6927f2bff8,13002,13,8975,Occupied,1985-09-21,,2025-03-16,2017-11-21,2025-05-20
0f76dbca1eea478c8020b371bfba7de1,a2285cbe4eb9443d8ff64c6927f2bff8,19003,19,8975,Occupied,1987-12-19,,2024-08-09,2023-01-29,2024-04-20
a4833ba1f21f46219719109553fbada3,a2285cbe4eb9443d8ff64c6927f2bff8,01004,1,8975,Vacant,1985-08-03,2023-05-02,,2016-11-20,2020-08-13
1a9bf866a33645b0901d2da8c72fc7e9,a2285cbe4eb9443d8ff64c6927f2bff8,19005,19,8975,Occupied,1987-05-21,,2020-08-09,2022-07-23,2025-07-13
54449a35b25f44ffb9ec485ff3ab3ca3,a2285cbe4eb9443d8ff64c6927f2bff8,13006,13,8975,Occupied,1977-06-09,,2025-01-08,2023-09-30,2025-03-28
bec95dd0b386463a8b030899bcbade96,a2285cbe4eb9443d8ff64c6927f2bff8,16007,16,8975,Occupied,1983-09-26,,2023-06-07,2022-04-20,2024-07-05
8b6a267c9ebc4a669faf54ad77349947,a2285cbe4eb9443d8ff64c6927f2bff8,01008,1,8975,Occupied,1971-12-05,,2021-12-05,2017-04-02,2022-06-27
aca70a66c63e412590b2c0119395c225,a2285cbe4eb9443d8ff64c6927f2bff8,12009,12,8975,Occupied,1975-08-25,,2021-02-02,2017-04-16,2020-12-09
5259c5e8efe3434eb49866bc76f09077,a2285cbe4eb9443d8ff64c6927f2bff8,10010,10,8975,Occupied,2010-12-17,,2021-06-16,2020-12-03,2022-10-22
0f7932052ec647338c08be022fa6424f,a2285cbe4eb9443d8ff64c6927f2bff8,13011,13,8975,Occupied,2011-09-03,,2022-06-25,2019-08-01,2023-12-18
485adea9a69341359a055944fe9f387c,a2285cbe4eb9443d8ff64c6927f2bff8,14012,14,8975,Vacant,2008-07-30,2024-03-27,,2023-12-28,2024-03-22
7ac996ee2e25463db394f4a5fb883749,a2285cbe4eb9443d8ff64c6927f2bff8,18013,18,8975,Occupied,2004-09-26,,2023-09-03,2019-02-26,2020-11-16
60d8f73ef02746adbdae903c01bae5ee,a2285cbe4eb9443d8ff64c6927f2bff8,18014,18,8975,Occupied,2021-08-28,,2022-09-26,2024-04-29,2024-10-06
da8b263725db4abfb139007d02b94d31,a2285cbe4eb9443d8ff64c6927f2bff8,20015,20,8975,Occupied,1998-03-28,,2022-12-08,2017-12-15,2018-06-12
567b09ce462a42c783225ceff3e0d80d,a2285cbe4eb9443d8ff64c6927f2bff8,08016,8,8975,Occupied,1974-01-18,,2022-05-21,2020-02-10,2020-11-25
bfd790e270b7420aa2d6e15aece2127b,a2285cbe4eb9443d8ff64c6927f2bff8,16017,16,8975,Vacant,1969-06-08,2022-04-10,,2024-02-10,2024-11-07
b36f76673cba4a53a286f6861b2f1f18,a2285cbe4eb9443d8ff64c6927f2bff8,08018,8,8975,Occupied,1999-03-04,,2021-03-04,2018-03-31,2023-11-08
31893701e53a4d17920316fd356ba0bd,a2285cbe4eb9443d8ff64c6927f2bff8,09019,9,8975,Occupied,1977-04-21,,2021-02-13,2018-02-20,2025-03-02
88c77f16ca4d488d8784df754e89dc05,a2285cbe4eb9443d8ff64c6927f2bff8,14020,14,8975,Vacant,2006-06-21,2024-03-26,,2023-07-03,2024-06-13
aa5418af01594a8dbb5674547226d892,a2285cbe4eb9443d8ff64c6927f2bff8,16021,16,8975,Occupied,2003-04-09,,2020-08-16,2018-12-25,2022-06-25
860952fb5c6f4c968bb6cc07a540e8cc,a2285cbe4eb9443d8ff64c6927f2bff8,01022,1,8975,Occupied,2008-06-13,,2020-08-07,2021-02-12,2023-01-13
389cc587dae540eab76be4b23d8c9a4b,a2285cbe4eb9443d8ff64c6927f2bff8,13023,13,8975,Occupied,1982-12-31,,2023-05-17,2019-12-20,2023-02-15
0b31d51dd34d4ab1b48937a6f4f03c97,a2285cbe4eb9443d8ff64c6927f2bff8,11024,11,8975,Occupied,2012-07-31,,2021-07-20,2016-05-06,2024-12-03
