id,invoice_date,due_date,property_id,vendor_id,vendor_name,amount_due,status,description,gl_account,gl_account_name,gl_class,gl_type,gltran_id
91c234e7d52c48fcbde0bd350cc0a1d7,2023-10-14,2023-10-29,57e217c5387d4711815590f353ad5421,5783da00617742a482127176f5890e9a,Sanchez Construction Management,979.5,Overdue,Construction Managers invoice for Property,60240,construction management,expense,overhead,
a5f8cf4f91234062889e583e5aba90b0,2025-04-02,2025-04-17,b0ba570dd1ba43c1828e8febfb7e3c73,179dabbb02824d9480e318f85883c055,Beck Ltd,8528.77,Paid,ESG & Sustainability Consultants invoice for Property,60410,green building expense,expense,overhead,3a4f7b186a48497798efb44278272a17
2c325ed268cc4dc08a1820ddb84acc2e,2023-11-02,2023-12-02,f8453f7be3734c6e83207fccd77edd75,5faee9fb02454e668fe6128c993761c7,Lopez Capital Advisors,705.57,Paid,Financial & Tax Advisors invoice for Property,60715,financial consulting,expense,overhead,9d42a2db2b434be9bd7f4aa736701366
e39d3ff8410e4191ab892726c1d979d5,2023-08-28,2023-09-27,274d6a082abc4de091a10bc562745591,4b81025e83534a38871c43c4fba9e59b,Davis Engineering,1994.18,Paid,Engineering Services invoice for Property,60225,engineering fees,expense,overhead,7ef27526a82c4e108949a6a4a16659f7
4ad960e4baf546689f20587048b2eadd,2023-11-19,2023-12-19,b787cabc72cf4471ab5cf7e7d7220652,11cc511ad4b14426ad647677631e43a4,Morris CPA Group,9200.62,Paid,Financial & Tax Advisors invoice for Property,60515,tax preparation fees,expense,overhead,25d36838831140e8b7f89d1c6d33384d
12dd86509e924a34930a118d18bfeb38,2025-02-04,2025-02-19,47e30298dee04846be4076fba3670486,4d42af534202462dbb965f2e2863aec5,Ramirez Engineering,3603.21,Overdue,Engineering Services invoice for Property,60225,engineering fees,expense,overhead,
65ca6437eec345b6b49c7dc9fe21ecc8,2024-08-19,2024-09-03,ac9d42d6c4184de2bcc4b31d6527ac7c,54309f439eae4553a68cba8f15ff6ff4,Kirk Data Advisors,3973.56,Paid,Market Research & Analytics invoice for Property,60815,market research,expense,overhead,413a2da1ebaf4eb0bd41b20665956888
29096690c67240c495b3b53ffa6f0fc9,2024-01-06,2024-02-05,ec8d76169b9f47968c394937e8575aac,e3761e0d12c14b9fa9ad4d7c8ab33955,Mclaughlin Analytics Group,1014.32,Paid,Market Research & Analytics invoice for Property,60815,market research,expense,overhead,58e659b71a9e49518869fc947b096434
ce98ed8308d0480eb44ecb3b8614d330,2023-12-31,2024-01-15,74e9e9a2aeca40c8aebfd5f07e6f9718,a8086050518e488f9f92d991f5809ed3,Davis Landscaping,3097.14,Paid,Landscaping & Outdoor Services invoice for Property,50210,maintenance & repairs,expense,operating,e736d883c16748729e3f585e837ab64a
c87810423d854a108ce623a75ac67e21,2023-10-08,2023-11-07,74e9e9a2aeca40c8aebfd5f07e6f9718,da2cf147d28b4750bf3f7a5d4a7ff634,Williams and Sons,9489.88,Paid,Construction Managers invoice for Property,60240,construction management,expense,overhead,2a80f7cbe269447fb9bec8d5a4eec9ca
